"partID","att","col","freq","amplitude"
"301","att","col","15",244.029147774923
"301","att","col","857",-38.3175912572455
"301","att","gray","15",11.7044862610993
"301","att","gray","857",-32.1308299854675
"301","ign","col","15",-33.1587563192893
"301","ign","col","857",1.43145279170431
"301","ign","gray","15",-21.7604496015015
"301","ign","gray","857",51.3188122823908
"302","att","col","15",132.015597904628
"302","att","col","857",12.3503339242328
"302","att","gray","15",141.687128153413
"302","att","gray","857",329.948299276913
"302","ign","col","15",31.0394873114636
"302","ign","col","857",-44.0962049557208
"302","ign","gray","15",8.57478139462084
"302","ign","gray","857",2.41962750091692
"303","att","col","15",67.1037216355109
"303","att","col","857",117.481744324475
"303","att","gray","15",42.1815708773109
"303","att","gray","857",141.020532590683
"303","ign","col","15",-7.68879433448334
"303","ign","col","857",77.1725534722945
"303","ign","gray","15",35.9535859060021
"303","ign","gray","857",337.023079623215
"304","att","col","15",18.1041872548384
"304","att","col","857",-56.9933832736215
"304","att","gray","15",-4.14278652668663
"304","att","gray","857",67.8372597481149
"304","ign","col","15",-33.3382473271766
"304","ign","col","857",-46.8319680657744
"304","ign","gray","15",-19.2743141781684
"304","ign","gray","857",72.375545652821
"305","att","col","15",-22.5535227433498
"305","att","col","857",37.9650206255706
"305","att","gray","15",3.4314486641787
"305","att","gray","857",149.202248242805
"305","ign","col","15",23.0349050887271
"305","ign","col","857",-22.297368889105
"305","ign","gray","15",29.1909440442555
"305","ign","gray","857",49.3073723952273
"306","att","col","15",81.5349051150201
"306","att","col","857",125.538845333006
"306","att","gray","15",52.7548990387757
"306","att","gray","857",100.797492230834
"306","ign","col","15",-17.1254122351841
"306","ign","col","857",9.76758349501975
"306","ign","gray","15",-14.8729862096766
"306","ign","gray","857",-52.3325839610117
"307","att","col","15",22.718795829173
"307","att","col","857",-0.213424270003464
"307","att","gray","15",-16.8960770093462
"307","att","gray","857",-3.58347053136388
"307","ign","col","15",-58.1512487391964
"307","ign","col","857",37.4666836495474
"307","ign","gray","15",-17.8059883923448
"307","ign","gray","857",38.481726491431
"308","att","col","15",-23.1577744592353
"308","att","col","857",-11.488043806959
"308","att","gray","15",70.6966539884879
"308","att","gray","857",39.3940071207834
"308","ign","col","15",-9.93369443887598
"308","ign","col","857",-31.2651258160089
"308","ign","gray","15",1.42219646457597
"308","ign","gray","857",-49.8564371990455
"309","att","col","15",16.31924933671
"309","att","col","857",85.1619794173328
"309","att","gray","15",129.565658921698
"309","att","gray","857",430.321614321159
"309","ign","col","15",-27.5545205883447
"309","ign","col","857",-0.149048299984514
"309","ign","gray","15",26.0801988263309
"309","ign","gray","857",-26.892176992806
"310","att","col","15",16.7372589972093
"310","att","col","857",86.5448076790237
"310","att","gray","15",-11.5785784583077
"310","att","gray","857",-5.50999636166574
"310","ign","col","15",20.1900097108157
"310","ign","col","857",-19.092082307908
"310","ign","gray","15",-9.1361701346605
"310","ign","gray","857",-47.854952119934
"311","att","col","15",2.64977676633271
"311","att","col","857",41.0291142324846
"311","att","gray","15",21.2889901203225
"311","att","gray","857",6.76874865788988
"311","ign","col","15",21.8466375722262
"311","ign","col","857",31.4138318071732
"311","ign","gray","15",47.289585145872
"311","ign","gray","857",23.2495542672436
"312","att","col","15",-27.7909683602355
"312","att","col","857",-26.754430223899
"312","att","gray","15",16.2728241608018
"312","att","gray","857",-42.9965057126066
"312","ign","col","15",34.3026048182161
"312","ign","col","857",-48.5683674195181
"312","ign","gray","15",39.7461130657394
"312","ign","gray","857",73.1757851902323
"313","att","col","15",92.5110866815052
"313","att","col","857",153.415693258842
"313","att","gray","15",46.7522382810948
"313","att","gray","857",94.3588767132022
"313","ign","col","15",-10.3040900036676
"313","ign","col","857",155.479835787848
"313","ign","gray","15",-7.19756722968189
"313","ign","gray","857",-17.6273584594254
"314","att","col","15",-21.0547426676637
"314","att","col","857",-23.9781021447615
"314","att","gray","15",-14.9408382676874
"314","att","gray","857",-23.8568707821326
"314","ign","col","15",4.30094741560913
"314","ign","col","857",115.248793625908
"314","ign","gray","15",47.286222940262
"314","ign","gray","857",-11.2565542575261
"315","att","col","15",18.1566787889644
"315","att","col","857",19.789524345538
"315","att","gray","15",81.049694137925
"315","att","gray","857",-8.70325944294
"315","ign","col","15",-19.9976398853994
"315","ign","col","857",25.4066834417005
"315","ign","gray","15",0.795630007802558
"315","ign","gray","857",-41.4980476511355
"316","att","col","15",23.0008599692995
"316","att","col","857",55.8410160519275
"316","att","gray","15",-21.6337698934299
"316","att","gray","857",-55.5738116232603
"316","ign","col","15",-22.0151115535018
"316","ign","col","857",-43.7415003773743
"316","ign","gray","15",26.2825299277852
"316","ign","gray","857",-8.18319795218372
"317","att","col","15",61.7200269818594
"317","att","col","857",-15.4148736015893
"317","att","gray","15",16.2228529315685
"317","att","gray","857",0.731665030074352
"317","ign","col","15",109.876256567903
"317","ign","col","857",-2.10998015807959
"317","ign","gray","15",31.1522222911311
"317","ign","gray","857",48.3674026599282
"318","att","col","15",16.3693943955223
"318","att","col","857",-10.268193722578
"318","att","gray","15",124.077376629881
"318","att","gray","857",43.3312328892692
"318","ign","col","15",-48.5864167835304
"318","ign","col","857",22.5937537910198
"318","ign","gray","15",-4.69893021806606
"318","ign","gray","857",62.5212576639183
"319","att","col","15",22.334766305361
"319","att","col","857",82.7972334337877
"319","att","gray","15",14.7916602447188
"319","att","gray","857",124.534715393745
"319","ign","col","15",-12.4620897726769
"319","ign","col","857",-4.69698567723144
"319","ign","gray","15",35.9508091453483
"319","ign","gray","857",81.187928230921
"320","att","col","15",62.1555958930196
"320","att","col","857",52.8900585410992
"320","att","gray","15",17.588755239592
"320","att","gray","857",101.975580782955
"320","ign","col","15",-6.91021735884901
"320","ign","col","857",-8.40310924299069
"320","ign","gray","15",-43.3176020418438
"320","ign","gray","857",-1.96052977006631
"321","att","col","15",-47.8746772801394
"321","att","col","857",-36.1322506315947
"321","att","gray","15",-3.9250697591988
"321","att","gray","857",32.9812036918692
"321","ign","col","15",-24.5878158914434
"321","ign","col","857",-9.46996424423494
"321","ign","gray","15",22.7054688371156
"321","ign","gray","857",-4.2239379671683
"322","att","col","15",-25.5121292736529
"322","att","col","857",161.048548912914
"322","att","gray","15",-37.7524389847702
"322","att","gray","857",-44.9887664131003
"322","ign","col","15",-10.5768631225968
"322","ign","col","857",-20.3426134727242
"322","ign","gray","15",21.4407051528667
"322","ign","gray","857",-22.7035477844933
"323","att","col","15",-4.99915377611614
"323","att","col","857",273.850310944488
"323","att","gray","15",45.60020948551
"323","att","gray","857",129.456648570602
"323","ign","col","15",-4.97598307201204
"323","ign","col","857",64.0778019347481
"323","ign","gray","15",-39.2656503802073
"323","ign","gray","857",35.6796349958054
"324","att","col","15",7.19238947504794
"324","att","col","857",4.21421129854814
"324","att","gray","15",4.62252221393611
"324","att","gray","857",15.3438251120898
"324","ign","col","15",-36.4591561880418
"324","ign","col","857",-17.9898294115011
"324","ign","gray","15",19.2840833506527
"324","ign","gray","857",-23.7132501831673
