"partID","att","col","freq","electrode","x","y","amplitude"
"301","att","col","15","E1",86.719831310897,82.7208230943671,-25.4740899072908
"301","att","col","15","E2",60.5117564493148,76.717478004812,-14.089015393047
"301","att","col","15","E3",35.2634825458284,69.6677676887961,-29.6925561429104
"301","att","col","15","E4",23.6192388587642,58.8318312797812,-33.4097176825356
"301","att","col","15","E5",11.4069836172611,43.8485528695707,-31.3496318934064
"301","att","col","15","E6",0,28.614,-17.1252407581259
"301","att","col","15","E7",-9.06629877496366,11.5485593631021,-4.26188934816668
"301","att","col","15","E8",51.097415472918,96.8083637295249,35.3532019797405
"301","att","col","15","E9",26.8737792539972,88.585411736964,19.6912317731609
"301","att","col","15","E10",16.0697667431522,76.4350039760624,-39.8053917238126
"301","att","col","15","E11",0,64.048,-2.09296603059299
"301","att","col","15","E12",-11.4069836172611,43.8485528695707,-17.9998429367396
"301","att","col","15","E13",-18.7176485153145,25.0067456910559,-33.3918792777134
"301","att","col","15","E14",14.1187002915317,105.342066422099,30.2645220962505
"301","att","col","15","E15",0,90.726,-1.80178059443079
"301","att","col","15","E16",0,79.014,5.20874244257453
"301","att","col","15","E17",0,114.908,19.5189739944817
"301","att","col","15","E18",-16.0697667431522,76.4350039760624,31.2567066834441
"301","att","col","15","E19",-23.6192388587642,58.8318312797812,138.435772066111
"301","att","col","15","E20",-31.3121246459833,41.9182840077502,36.8004890358717
"301","att","col","15","E21",-14.1187002915317,105.342066422099,-34.2617851042554
"301","att","col","15","E22",-26.8737792539972,88.585411736964,50.563642274272
"301","att","col","15","E23",-35.2634825458284,69.6677676887961,-22.396593533244
"301","att","col","15","E24",-39.5281102525102,53.3724044414846,-1.67133781116828
"301","att","col","15","E25",-51.097415472918,96.8083637295249,10.6973047494608
"301","att","col","15","E26",-60.5117564493148,76.717478004812,-37.9366457398102
"301","att","col","15","E27",-56.2717346283799,54.0022587112168,-27.1644426445535
"301","att","col","15","E28",-50.0298983002845,37.5034658673461,-24.8893350837677
"301","att","col","15","E29",-39.6304283909149,22.4510456227002,18.7392500054736
"301","att","col","15","E30",-28.5960902390953,7.43167134886356,16.2966471830771
"301","att","col","15","E31",-14.2590609871468,-4.99065843399723,-34.0622123934564
"301","att","col","15","E32",-86.719831310897,82.7208230943671,123.94448260196
"301","att","col","15","E33",-86.5427774390136,55.8179182444255,-42.9231593055397
"301","att","col","15","E34",-73.2735964589411,31.8739532843394,8.72518734572674
"301","att","col","15","E35",-58.7070104036568,13.6367088941921,-0.258932334266573
"301","att","col","15","E36",-45.139000940819,2.34746545549408,11.3108554107317
"301","att","col","15","E37",-29.3939238752213,-11.4188613800894,114.108360617528
"301","att","col","15","E38",-111.066561880691,61.2336542760814,14.344285390358
"301","att","col","15","E39",-106.979294016482,12.6447944916077,-51.2121336441219
"301","att","col","15","E40",-82.0312253490634,0.356499272328901,-38.0865942899692
"301","att","col","15","E41",-62.3658981365752,-7.23363018257962,-10.1036723885376
"301","att","col","15","E42",-48.4277069849025,-19.0176228846936,33.356271766364
"301","att","col","15","E43",-132.385776483018,49.089223063604,-10.1743064557863
"301","att","col","15","E44",-127.856243406767,23.8953117140088,-17.5618286604084
"301","att","col","15","E45",-102.023724252225,-26.0624191069444,-28.9649039679591
"301","att","col","15","E46",-77.0757795587277,-24.2279722926707,-17.8691932963035
"301","att","col","15","E47",-61.3490707363697,-27.4299165836118,-45.5369322056613
"301","att","col","15","E48",-147.073602828489,55.1905344696692,-2.85126660146503
"301","att","col","15","E49",-148.427539841507,9.81951733019121,-4.38194593075069
"301","att","col","15","E50",-87.6147402607277,-51.9804690729627,8.71581947747431
"301","att","col","15","E51",-64.3973497966683,-45.8325114211031,-43.1339174436856
"301","att","col","15","E52",-49.3286473753904,-38.0293353099208,4.83768492480777
"301","att","col","15","E53",-31.8703858461666,-30.6802729781934,56.1015060477128
"301","att","col","15","E54",-16.3380561246601,-24.5721384105547,-29.5030177162334
"301","att","col","15","E55",1.86009153028893e-15,-15.1888,22.8921664139672
"301","att","col","15","E56",-134.514184844694,-53.5568924748948,-26.525357902211
"301","att","col","15","E57",-107.771903337525,-61.2478444600876,124.788389048473
"301","att","col","15","E58",-72.0824426385969,-68.7392048197634,-46.2958316156317
"301","att","col","15","E59",-49.0164711950736,-60.6384229311954,-1.85819248201907
"301","att","col","15","E60",-33.5739711579434,-49.4397118183913,65.501105090144
"301","att","col","15","E61",-17.5616376782163,-41.0535015078989,-19.8908665511592
"301","att","col","15","E62",6.24863782796946e-15,-51.024,-34.8434367097547
"301","att","col","15","E63",-111.844618176326,-90.215004411638,50.2451531427289
"301","att","col","15","E64",-82.7166311762146,-89.8591836311575,-0.406549353848077
"301","att","col","15","E65",-53.2724548220446,-83.4923179534095,-13.5290065039223
"301","att","col","15","E66",-32.9982073155436,-70.0930032026051,19.037259345459
"301","att","col","15","E67",-14.9843695227892,-59.7435310808167,-18.2097150435697
"301","att","col","15","E68",-70.8544927411257,-119.808404222733,14.5815800140666
"301","att","col","15","E69",-50.7971288111611,-109.433046236237,5.84492909227025
"301","att","col","15","E70",-29.8089612459443,-93.6860097636664,19.9016665110909
"301","att","col","15","E71",-12.5941162529112,-75.6650426009803,-20.0658846064527
"301","att","col","15","E72",8.04078595384169e-15,-65.658,-7.60697451651654
"301","att","col","15","E73",-34.2137515878335,-132.964697639208,-12.4464136599941
"301","att","col","15","E74",-15.7052501655887,-118.019611578908,44.2013707053524
"301","att","col","15","E75",1.18239648457677e-14,-96.55,244.029147774923
"301","att","col","15","E76",12.5941162529112,-75.6650426009803,-23.1566726625268
"301","att","col","15","E77",14.9843695227892,-59.7435310808167,7.27451051674814
"301","att","col","15","E78",17.5616376782163,-41.0535015078989,23.9734052366574
"301","att","col","15","E79",16.3380561246601,-24.5721384105547,51.3952006230108
"301","att","col","15","E80",14.2590609871468,-4.99065843399723,40.2589040112831
"301","att","col","15","E81",1.66253150865048e-14,-135.756,46.959635251556
"301","att","col","15","E82",15.7052501655887,-118.019611578908,41.8987529205383
"301","att","col","15","E83",29.8089612459443,-93.6860097636664,32.5535509594683
"301","att","col","15","E84",32.9982073155436,-70.0930032026051,48.8208094628028
"301","att","col","15","E85",33.5739711579434,-49.4397118183913,63.9952544880515
"301","att","col","15","E86",31.8703858461666,-30.6802729781934,100.876853251918
"301","att","col","15","E87",29.3939238752213,-11.4188613800894,13.6105252508283
"301","att","col","15","E88",34.2137515878335,-132.964697639208,40.6602053201761
"301","att","col","15","E89",50.7971288111611,-109.433046236237,26.3095915690815
"301","att","col","15","E90",53.2724548220446,-83.4923179534095,94.1857697863054
"301","att","col","15","E91",49.0164711950736,-60.6384229311954,23.5860719871396
"301","att","col","15","E92",49.3286473753904,-38.0293353099208,20.0614487380212
